A	B	GO_BMA	A_name	B_name
hsa05033	hsa04730	0.722	Nicotine addiction	Long-term depression
hsa05033	hsa04742	0.834	Nicotine addiction	Taste transduction
hsa05033	hsa05010	0.652	Nicotine addiction	Alzheimer disease
hsa05033	hsa05017	0.7	Nicotine addiction	Spinocerebellar ataxia
hsa05033	hsa05022	0.649	Nicotine addiction	Pathways of neurodegeneration - multiple diseases
hsa05033	hsa05030	0.766	Nicotine addiction	Cocaine addiction
hsa05033	hsa05031	0.743	Nicotine addiction	Amphetamine addiction
hsa05033	hsa05032	0.817	Nicotine addiction	Morphine addiction
hsa05034	hsa04010	0.893	Alcoholism	MAPK signaling pathway
hsa05034	hsa04014	0.891	Alcoholism	Ras signaling pathway
hsa05034	hsa04022	0.886	Alcoholism	cGMP-PKG signaling pathway
hsa05034	hsa04024	0.9	Alcoholism	cAMP signaling pathway
hsa05034	hsa04371	0.895	Alcoholism	Apelin signaling pathway
hsa05034	hsa04613	0.894	Alcoholism	Neutrophil extracellular trap formation
hsa05034	hsa04713	0.888	Alcoholism	Circadian entrainment
hsa05034	hsa04720	0.899	Alcoholism	Long-term potentiation
hsa05034	hsa04722	0.895	Alcoholism	Neurotrophin signaling pathway
hsa05034	hsa04728	0.921	Alcoholism	Dopaminergic synapse
hsa05034	hsa04912	0.892	Alcoholism	GnRH signaling pathway
hsa05034	hsa04915	0.9	Alcoholism	Estrogen signaling pathway
hsa05034	hsa04916	0.886	Alcoholism	Melanogenesis
hsa05034	hsa04921	0.887	Alcoholism	Oxytocin signaling pathway
hsa05034	hsa04926	0.887	Alcoholism	Relaxin signaling pathway
hsa05034	hsa04928	0.886	Alcoholism	Parathyroid hormone synthesis, secretion and action
hsa05034	hsa04935	0.893	Alcoholism	Growth hormone synthesis, secretion and action
hsa05034	hsa05030	0.907	Alcoholism	Cocaine addiction
hsa05034	hsa05031	0.924	Alcoholism	Amphetamine addiction
hsa05034	hsa05203	0.898	Alcoholism	Viral carcinogenesis
hsa05100	hsa04012	0.899	Bacterial invasion of epithelial cells	ErbB signaling pathway
hsa05100	hsa04015	0.913	Bacterial invasion of epithelial cells	Rap1 signaling pathway
hsa05100	hsa04062	0.893	Bacterial invasion of epithelial cells	Chemokine signaling pathway
hsa05100	hsa04144	0.894	Bacterial invasion of epithelial cells	Endocytosis
hsa05100	hsa04360	0.913	Bacterial invasion of epithelial cells	Axon guidance
hsa05100	hsa04510	0.933	Bacterial invasion of epithelial cells	Focal adhesion
hsa05100	hsa04520	0.918	Bacterial invasion of epithelial cells	Adherens junction
hsa05100	hsa04530	0.905	Bacterial invasion of epithelial cells	Tight junction
hsa05100	hsa04611	0.898	Bacterial invasion of epithelial cells	Platelet activation
hsa05100	hsa04660	0.893	Bacterial invasion of epithelial cells	T cell receptor signaling pathway
hsa05100	hsa04666	0.904	Bacterial invasion of epithelial cells	Fc gamma R-mediated phagocytosis
hsa05100	hsa04670	0.933	Bacterial invasion of epithelial cells	Leukocyte transendothelial migration
hsa05100	hsa04722	0.896	Bacterial invasion of epithelial cells	Neurotrophin signaling pathway
hsa05100	hsa04810	0.926	Bacterial invasion of epithelial cells	Regulation of actin cytoskeleton
hsa05100	hsa05130	0.9	Bacterial invasion of epithelial cells	Pathogenic Escherichia coli infection
hsa05100	hsa05131	0.901	Bacterial invasion of epithelial cells	Shigellosis
hsa05100	hsa05132	0.899	Bacterial invasion of epithelial cells	Salmonella infection
hsa05100	hsa05135	0.922	Bacterial invasion of epithelial cells	Yersinia infection
hsa05100	hsa05205	0.9	Bacterial invasion of epithelial cells	Proteoglycans in cancer
hsa05100	hsa05213	0.894	Bacterial invasion of epithelial cells	Endometrial cancer
hsa05110	hsa04015	0.817	Vibrio cholerae infection	Rap1 signaling pathway
hsa05110	hsa04145	0.811	Vibrio cholerae infection	Phagosome
hsa05110	hsa04261	0.808	Vibrio cholerae infection	Adrenergic signaling in cardiomyocytes
hsa05110	hsa04530	0.832	Vibrio cholerae infection	Tight junction
hsa05110	hsa04540	0.824	Vibrio cholerae infection	Gap junction
hsa05110	hsa04611	0.823	Vibrio cholerae infection	Platelet activation
hsa05110	hsa04670	0.828	Vibrio cholerae infection	Leukocyte transendothelial migration
hsa05110	hsa04713	0.81	Vibrio cholerae infection	Circadian entrainment
hsa05110	hsa04725	0.815	Vibrio cholerae infection	Cholinergic synapse
hsa05110	hsa04750	0.814	Vibrio cholerae infection	Inflammatory mediator regulation of TRP channels
hsa05110	hsa04911	0.81	Vibrio cholerae infection	Insulin secretion
hsa05110	hsa04912	0.815	Vibrio cholerae infection	GnRH signaling pathway
hsa05110	hsa04915	0.809	Vibrio cholerae infection	Estrogen signaling pathway
hsa05110	hsa04918	0.82	Vibrio cholerae infection	Thyroid hormone synthesis
hsa05110	hsa04921	0.815	Vibrio cholerae infection	Oxytocin signaling pathway
hsa05110	hsa04961	0.819	Vibrio cholerae infection	Endocrine and other factor-regulated calcium reabsorption
hsa05110	hsa04970	0.829	Vibrio cholerae infection	Salivary secretion
hsa05110	hsa04971	0.87	Vibrio cholerae infection	Gastric acid secretion
hsa05110	hsa04972	0.825	Vibrio cholerae infection	Pancreatic secretion
hsa05110	hsa05120	0.847	Vibrio cholerae infection	Epithelial cell signaling in Helicobacter pylori infection
hsa05120	hsa04012	0.906	Epithelial cell signaling in Helicobacter pylori infection	ErbB signaling pathway
hsa05120	hsa04014	0.902	Epithelial cell signaling in Helicobacter pylori infection	Ras signaling pathway
hsa05120	hsa04062	0.926	Epithelial cell signaling in Helicobacter pylori infection	Chemokine signaling pathway
hsa05120	hsa04064	0.905	Epithelial cell signaling in Helicobacter pylori infection	NF-kappa B signaling pathway
hsa05120	hsa04360	0.901	Epithelial cell signaling in Helicobacter pylori infection	Axon guidance
hsa05120	hsa04620	0.911	Epithelial cell signaling in Helicobacter pylori infection	Toll-like receptor signaling pathway
hsa05120	hsa04625	0.905	Epithelial cell signaling in Helicobacter pylori infection	C-type lectin receptor signaling pathway
hsa05120	hsa04660	0.91	Epithelial cell signaling in Helicobacter pylori infection	T cell receptor signaling pathway
hsa05120	hsa04662	0.901	Epithelial cell signaling in Helicobacter pylori infection	B cell receptor signaling pathway
hsa05120	hsa04668	0.906	Epithelial cell signaling in Helicobacter pylori infection	TNF signaling pathway
hsa05120	hsa04722	0.913	Epithelial cell signaling in Helicobacter pylori infection	Neurotrophin signaling pathway
hsa05120	hsa05130	0.906	Epithelial cell signaling in Helicobacter pylori infection	Pathogenic Escherichia coli infection
hsa05120	hsa05131	0.899	Epithelial cell signaling in Helicobacter pylori infection	Shigellosis
hsa05120	hsa05135	0.919	Epithelial cell signaling in Helicobacter pylori infection	Yersinia infection
hsa05120	hsa05161	0.907	Epithelial cell signaling in Helicobacter pylori infection	Hepatitis B
hsa05120	hsa05163	0.899	Epithelial cell signaling in Helicobacter pylori infection	Human cytomegalovirus infection
hsa05120	hsa05167	0.899	Epithelial cell signaling in Helicobacter pylori infection	Kaposi sarcoma-associated herpesvirus infection
hsa05120	hsa05168	0.906	Epithelial cell signaling in Helicobacter pylori infection	Herpes simplex virus 1 infection
hsa05120	hsa05212	0.9	Epithelial cell signaling in Helicobacter pylori infection	Pancreatic cancer
hsa05120	hsa05235	0.906	Epithelial cell signaling in Helicobacter pylori infection	PD-L1 expression and PD-1 checkpoint pathway in cancer
hsa05120	hsa05323	0.9	Epithelial cell signaling in Helicobacter pylori infection	Rheumatoid arthritis
hsa05130	hsa04010	0.93	Pathogenic Escherichia coli infection	MAPK signaling pathway
hsa05130	hsa04210	0.93	Pathogenic Escherichia coli infection	Apoptosis
hsa05130	hsa04510	0.929	Pathogenic Escherichia coli infection	Focal adhesion
hsa05130	hsa04530	0.939	Pathogenic Escherichia coli infection	Tight junction
hsa05130	hsa04621	0.937	Pathogenic Escherichia coli infection	NOD-like receptor signaling pathway
hsa05130	hsa04660	0.927	Pathogenic Escherichia coli infection	T cell receptor signaling pathway
hsa05130	hsa04810	0.939	Pathogenic Escherichia coli infection	Regulation of actin cytoskeleton
hsa05130	hsa05131	0.953	Pathogenic Escherichia coli infection	Shigellosis
hsa05130	hsa05132	0.964	Pathogenic Escherichia coli infection	Salmonella infection
hsa05130	hsa05135	0.96	Pathogenic Escherichia coli infection	Yersinia infection
hsa05130	hsa05152	0.926	Pathogenic Escherichia coli infection	Tuberculosis
hsa05130	hsa05160	0.928	Pathogenic Escherichia coli infection	Hepatitis C
hsa05130	hsa05161	0.931	Pathogenic Escherichia coli infection	Hepatitis B
hsa05130	hsa05163	0.936	Pathogenic Escherichia coli infection	Human cytomegalovirus infection
hsa05130	hsa05164	0.926	Pathogenic Escherichia coli infection	Influenza A
hsa05130	hsa05168	0.936	Pathogenic Escherichia coli infection	Herpes simplex virus 1 infection
hsa05130	hsa05170	0.931	Pathogenic Escherichia coli infection	Human immunodeficiency virus 1 infection
hsa05130	hsa05171	0.93	Pathogenic Escherichia coli infection	Coronavirus disease - COVID-19
hsa05130	hsa05205	0.932	Pathogenic Escherichia coli infection	Proteoglycans in cancer
hsa05130	hsa05417	0.931	Pathogenic Escherichia coli infection	Lipid and atherosclerosis
hsa05131	hsa04062	0.943	Shigellosis	Chemokine signaling pathway
hsa05131	hsa04151	0.936	Shigellosis	PI3K-Akt signaling pathway
hsa05131	hsa04210	0.941	Shigellosis	Apoptosis
hsa05131	hsa04510	0.937	Shigellosis	Focal adhesion
hsa05131	hsa04621	0.949	Shigellosis	NOD-like receptor signaling pathway
hsa05131	hsa04625	0.936	Shigellosis	C-type lectin receptor signaling pathway
hsa05131	hsa04722	0.938	Shigellosis	Neurotrophin signaling pathway
hsa05131	hsa05130	0.953	Shigellosis	Pathogenic Escherichia coli infection
hsa05131	hsa05132	0.96	Shigellosis	Salmonella infection
hsa05131	hsa05135	0.961	Shigellosis	Yersinia infection
hsa05131	hsa05160	0.938	Shigellosis	Hepatitis C
hsa05131	hsa05161	0.941	Shigellosis	Hepatitis B
hsa05131	hsa05163	0.954	Shigellosis	Human cytomegalovirus infection
hsa05131	hsa05167	0.951	Shigellosis	Kaposi sarcoma-associated herpesvirus infection
hsa05131	hsa05168	0.947	Shigellosis	Herpes simplex virus 1 infection
hsa05131	hsa05170	0.949	Shigellosis	Human immunodeficiency virus 1 infection
hsa05131	hsa05171	0.936	Shigellosis	Coronavirus disease - COVID-19
hsa05131	hsa05203	0.937	Shigellosis	Viral carcinogenesis
hsa05131	hsa05205	0.945	Shigellosis	Proteoglycans in cancer
hsa05131	hsa05417	0.948	Shigellosis	Lipid and atherosclerosis
hsa05131	hsa05418	0.937	Shigellosis	Fluid shear stress and atherosclerosis
hsa05132	hsa04010	0.935	Salmonella infection	MAPK signaling pathway
hsa05132	hsa04210	0.938	Salmonella infection	Apoptosis
hsa05132	hsa04510	0.931	Salmonella infection	Focal adhesion
hsa05132	hsa04621	0.943	Salmonella infection	NOD-like receptor signaling pathway
hsa05132	hsa05130	0.964	Salmonella infection	Pathogenic Escherichia coli infection
hsa05132	hsa05131	0.96	Salmonella infection	Shigellosis
hsa05132	hsa05135	0.957	Salmonella infection	Yersinia infection
hsa05132	hsa05152	0.935	Salmonella infection	Tuberculosis
hsa05132	hsa05160	0.932	Salmonella infection	Hepatitis C
hsa05132	hsa05161	0.939	Salmonella infection	Hepatitis B
hsa05132	hsa05162	0.933	Salmonella infection	Measles
hsa05132	hsa05163	0.939	Salmonella infection	Human cytomegalovirus infection
hsa05132	hsa05164	0.935	Salmonella infection	Influenza A
hsa05132	hsa05167	0.936	Salmonella infection	Kaposi sarcoma-associated herpesvirus infection
hsa05132	hsa05168	0.939	Salmonella infection	Herpes simplex virus 1 infection
hsa05132	hsa05170	0.94	Salmonella infection	Human immunodeficiency virus 1 infection
hsa05132	hsa05200	0.931	Salmonella infection	Pathways in cancer
hsa05132	hsa05205	0.938	Salmonella infection	Proteoglycans in cancer
hsa05132	hsa05417	0.941	Salmonella infection	Lipid and atherosclerosis
hsa05132	hsa05418	0.934	Salmonella infection	Fluid shear stress and atherosclerosis
hsa05133	hsa04064	0.92	Pertussis	NF-kappa B signaling pathway
hsa05133	hsa04620	0.941	Pertussis	Toll-like receptor signaling pathway
hsa05133	hsa04621	0.924	Pertussis	NOD-like receptor signaling pathway
hsa05133	hsa04625	0.937	Pertussis	C-type lectin receptor signaling pathway
hsa05133	hsa04657	0.927	Pertussis	IL-17 signaling pathway
hsa05133	hsa04660	0.914	Pertussis	T cell receptor signaling pathway
hsa05133	hsa04668	0.925	Pertussis	TNF signaling pathway
hsa05133	hsa04722	0.911	Pertussis	Neurotrophin signaling pathway
hsa05133	hsa04936	0.915	Pertussis	Alcoholic liver disease
hsa05133	hsa05130	0.919	Pertussis	Pathogenic Escherichia coli infection
hsa05133	hsa05134	0.928	Pertussis	Legionellosis
hsa05133	hsa05135	0.934	Pertussis	Yersinia infection
hsa05133	hsa05140	0.926	Pertussis	Leishmaniasis
hsa05133	hsa05142	0.929	Pertussis	Chagas disease
hsa05133	hsa05145	0.916	Pertussis	Toxoplasmosis
hsa05133	hsa05152	0.923	Pertussis	Tuberculosis
hsa05133	hsa05161	0.917	Pertussis	Hepatitis B
hsa05133	hsa05162	0.912	Pertussis	Measles
hsa05133	hsa05168	0.92	Pertussis	Herpes simplex virus 1 infection
hsa05133	hsa05417	0.918	Pertussis	Lipid and atherosclerosis
hsa05134	hsa04064	0.91	Legionellosis	NF-kappa B signaling pathway
hsa05134	hsa04620	0.917	Legionellosis	Toll-like receptor signaling pathway
hsa05134	hsa04621	0.909	Legionellosis	NOD-like receptor signaling pathway
hsa05134	hsa04622	0.901	Legionellosis	RIG-I-like receptor signaling pathway
hsa05134	hsa04625	0.895	Legionellosis	C-type lectin receptor signaling pathway
hsa05134	hsa04657	0.91	Legionellosis	IL-17 signaling pathway
hsa05134	hsa04668	0.901	Legionellosis	TNF signaling pathway
hsa05134	hsa04936	0.89	Legionellosis	Alcoholic liver disease
hsa05134	hsa05133	0.928	Legionellosis	Pertussis
hsa05134	hsa05135	0.893	Legionellosis	Yersinia infection
hsa05134	hsa05140	0.904	Legionellosis	Leishmaniasis
hsa05134	hsa05142	0.897	Legionellosis	Chagas disease
hsa05134	hsa05145	0.908	Legionellosis	Toxoplasmosis
hsa05134	hsa05152	0.904	Legionellosis	Tuberculosis
hsa05134	hsa05162	0.915	Legionellosis	Measles
hsa05134	hsa05164	0.906	Legionellosis	Influenza A
hsa05134	hsa05168	0.921	Legionellosis	Herpes simplex virus 1 infection
hsa05134	hsa05169	0.893	Legionellosis	Epstein-Barr virus infection
hsa05134	hsa05171	0.887	Legionellosis	Coronavirus disease - COVID-19
hsa05134	hsa05417	0.896	Legionellosis	Lipid and atherosclerosis
hsa05135	hsa04062	0.956	Yersinia infection	Chemokine signaling pathway
hsa05135	hsa04380	0.945	Yersinia infection	Osteoclast differentiation
hsa05135	hsa04510	0.949	Yersinia infection	Focal adhesion
hsa05135	hsa04620	0.954	Yersinia infection	Toll-like receptor signaling pathway
hsa05135	hsa04625	0.949	Yersinia infection	C-type lectin receptor signaling pathway
hsa05135	hsa04660	0.959	Yersinia infection	T cell receptor signaling pathway
hsa05135	hsa04668	0.949	Yersinia infection	TNF signaling pathway
hsa05135	hsa04722	0.949	Yersinia infection	Neurotrophin signaling pathway
hsa05135	hsa04810	0.942	Yersinia infection	Regulation of actin cytoskeleton
hsa05135	hsa05130	0.96	Yersinia infection	Pathogenic Escherichia coli infection
hsa05135	hsa05131	0.961	Yersinia infection	Shigellosis
hsa05135	hsa05132	0.957	Yersinia infection	Salmonella infection
hsa05135	hsa05161	0.95	Yersinia infection	Hepatitis B
hsa05135	hsa05163	0.951	Yersinia infection	Human cytomegalovirus infection
hsa05135	hsa05164	0.942	Yersinia infection	Influenza A
hsa05135	hsa05167	0.945	Yersinia infection	Kaposi sarcoma-associated herpesvirus infection
hsa05135	hsa05168	0.949	Yersinia infection	Herpes simplex virus 1 infection
hsa05135	hsa05170	0.946	Yersinia infection	Human immunodeficiency virus 1 infection
hsa05135	hsa05235	0.945	Yersinia infection	PD-L1 expression and PD-1 checkpoint pathway in cancer
hsa05135	hsa05417	0.945	Yersinia infection	Lipid and atherosclerosis
hsa05140	hsa04060	0.906	Leishmaniasis	Cytokine-cytokine receptor interaction
hsa05140	hsa04064	0.911	Leishmaniasis	NF-kappa B signaling pathway
hsa05140	hsa04380	0.929	Leishmaniasis	Osteoclast differentiation
hsa05140	hsa04620	0.922	Leishmaniasis	Toll-like receptor signaling pathway
hsa05140	hsa04658	0.934	Leishmaniasis	Th1 and Th2 cell differentiation
hsa05140	hsa04659	0.941	Leishmaniasis	Th17 cell differentiation
hsa05140	hsa04933	0.909	Leishmaniasis	AGE-RAGE signaling pathway in diabetic complications
hsa05140	hsa05133	0.926	Leishmaniasis	Pertussis
hsa05140	hsa05135	0.915	Leishmaniasis	Yersinia infection
hsa05140	hsa05142	0.925	Leishmaniasis	Chagas disease
hsa05140	hsa05145	0.946	Leishmaniasis	Toxoplasmosis
hsa05140	hsa05146	0.913	Leishmaniasis	Amoebiasis
hsa05140	hsa05152	0.933	Leishmaniasis	Tuberculosis
hsa05140	hsa05161	0.918	Leishmaniasis	Hepatitis B
hsa05140	hsa05162	0.906	Leishmaniasis	Measles
hsa05140	hsa05164	0.911	Leishmaniasis	Influenza A
hsa05140	hsa05168	0.934	Leishmaniasis	Herpes simplex virus 1 infection
hsa05140	hsa05169	0.908	Leishmaniasis	Epstein-Barr virus infection
hsa05140	hsa05235	0.92	Leishmaniasis	PD-L1 expression and PD-1 checkpoint pathway in cancer
hsa05140	hsa05321	0.941	Leishmaniasis	Inflammatory bowel disease
hsa05140	hsa05323	0.916	Leishmaniasis	Rheumatoid arthritis
hsa05142	hsa04062	0.934	Chagas disease	Chemokine signaling pathway
hsa05142	hsa04380	0.948	Chagas disease	Osteoclast differentiation
hsa05142	hsa04620	0.961	Chagas disease	Toll-like receptor signaling pathway
hsa05142	hsa04625	0.941	Chagas disease	C-type lectin receptor signaling pathway
hsa05142	hsa04660	0.934	Chagas disease	T cell receptor signaling pathway
hsa05142	hsa04668	0.952	Chagas disease	TNF signaling pathway
hsa05142	hsa04926	0.94	Chagas disease	Relaxin signaling pathway
hsa05142	hsa04933	0.946	Chagas disease	AGE-RAGE signaling pathway in diabetic complications
hsa05142	hsa05135	0.94	Chagas disease	Yersinia infection
hsa05142	hsa05145	0.943	Chagas disease	Toxoplasmosis
hsa05142	hsa05146	0.935	Chagas disease	Amoebiasis
hsa05142	hsa05152	0.935	Chagas disease	Tuberculosis
hsa05142	hsa05160	0.937	Chagas disease	Hepatitis C
hsa05142	hsa05161	0.952	Chagas disease	Hepatitis B
hsa05142	hsa05162	0.939	Chagas disease	Measles
hsa05142	hsa05163	0.939	Chagas disease	Human cytomegalovirus infection
hsa05142	hsa05167	0.934	Chagas disease	Kaposi sarcoma-associated herpesvirus infection
hsa05142	hsa05168	0.949	Chagas disease	Herpes simplex virus 1 infection
hsa05142	hsa05170	0.934	Chagas disease	Human immunodeficiency virus 1 infection
hsa05142	hsa05235	0.941	Chagas disease	PD-L1 expression and PD-1 checkpoint pathway in cancer
hsa05142	hsa05417	0.935	Chagas disease	Lipid and atherosclerosis
hsa05143	hsa04060	0.891	African trypanosomiasis	Cytokine-cytokine receptor interaction
hsa05143	hsa04061	0.874	African trypanosomiasis	Viral protein interaction with cytokine and cytokine receptor
hsa05143	hsa04064	0.876	African trypanosomiasis	NF-kappa B signaling pathway
hsa05143	hsa04620	0.882	African trypanosomiasis	Toll-like receptor signaling pathway
hsa05143	hsa04621	0.859	African trypanosomiasis	NOD-like receptor signaling pathway
hsa05143	hsa04630	0.868	African trypanosomiasis	JAK-STAT signaling pathway
hsa05143	hsa04640	0.857	African trypanosomiasis	Hematopoietic cell lineage
hsa05143	hsa04650	0.862	African trypanosomiasis	Natural killer cell mediated cytotoxicity
hsa05143	hsa04657	0.868	African trypanosomiasis	IL-17 signaling pathway
hsa05143	hsa04668	0.867	African trypanosomiasis	TNF signaling pathway
hsa05143	hsa04933	0.857	African trypanosomiasis	AGE-RAGE signaling pathway in diabetic complications
hsa05143	hsa05133	0.87	African trypanosomiasis	Pertussis
hsa05143	hsa05134	0.859	African trypanosomiasis	Legionellosis
hsa05143	hsa05140	0.864	African trypanosomiasis	Leishmaniasis
hsa05143	hsa05142	0.878	African trypanosomiasis	Chagas disease
hsa05143	hsa05144	0.904	African trypanosomiasis	Malaria
hsa05143	hsa05145	0.859	African trypanosomiasis	Toxoplasmosis
hsa05143	hsa05146	0.883	African trypanosomiasis	Amoebiasis
hsa05143	hsa05164	0.856	African trypanosomiasis	Influenza A
hsa05143	hsa05171	0.857	African trypanosomiasis	Coronavirus disease - COVID-19
hsa05144	hsa04060	0.917	Malaria	Cytokine-cytokine receptor interaction
hsa05144	hsa04061	0.892	Malaria	Viral protein interaction with cytokine and cytokine receptor
hsa05144	hsa04064	0.878	Malaria	NF-kappa B signaling pathway
hsa05144	hsa04512	0.873	Malaria	ECM-receptor interaction
hsa05144	hsa04514	0.87	Malaria	Cell adhesion molecules
hsa05144	hsa04620	0.89	Malaria	Toll-like receptor signaling pathway
hsa05144	hsa04640	0.903	Malaria	Hematopoietic cell lineage
hsa05144	hsa04657	0.872	Malaria	IL-17 signaling pathway
hsa05144	hsa04933	0.867	Malaria	AGE-RAGE signaling pathway in diabetic complications
hsa05144	hsa05133	0.88	Malaria	Pertussis
hsa05144	hsa05134	0.868	Malaria	Legionellosis
hsa05144	hsa05140	0.903	Malaria	Leishmaniasis
hsa05144	hsa05142	0.884	Malaria	Chagas disease
hsa05144	hsa05143	0.904	Malaria	African trypanosomiasis
hsa05144	hsa05145	0.88	Malaria	Toxoplasmosis
hsa05144	hsa05146	0.892	Malaria	Amoebiasis
hsa05144	hsa05152	0.877	Malaria	Tuberculosis
hsa05144	hsa05171	0.867	Malaria	Coronavirus disease - COVID-19
hsa05144	hsa05321	0.882	Malaria	Inflammatory bowel disease
hsa05144	hsa05323	0.906	Malaria	Rheumatoid arthritis
hsa05145	hsa04380	0.933	Toxoplasmosis	Osteoclast differentiation
hsa05145	hsa04620	0.932	Toxoplasmosis	Toll-like receptor signaling pathway
hsa05145	hsa04659	0.935	Toxoplasmosis	Th17 cell differentiation
hsa05145	hsa04668	0.929	Toxoplasmosis	TNF signaling pathway
hsa05145	hsa04933	0.93	Toxoplasmosis	AGE-RAGE signaling pathway in diabetic complications
hsa05145	hsa05135	0.932	Toxoplasmosis	Yersinia infection
hsa05145	hsa05140	0.946	Toxoplasmosis	Leishmaniasis
hsa05145	hsa05142	0.943	Toxoplasmosis	Chagas disease
hsa05145	hsa05146	0.929	Toxoplasmosis	Amoebiasis
hsa05145	hsa05152	0.948	Toxoplasmosis	Tuberculosis
hsa05145	hsa05160	0.928	Toxoplasmosis	Hepatitis C
hsa05145	hsa05161	0.944	Toxoplasmosis	Hepatitis B
hsa05145	hsa05162	0.944	Toxoplasmosis	Measles
hsa05145	hsa05164	0.94	Toxoplasmosis	Influenza A
hsa05145	hsa05166	0.927	Toxoplasmosis	Human T-cell leukemia virus 1 infection
hsa05145	hsa05167	0.929	Toxoplasmosis	Kaposi sarcoma-associated herpesvirus infection
hsa05145	hsa05168	0.952	Toxoplasmosis	Herpes simplex virus 1 infection
hsa05145	hsa05169	0.938	Toxoplasmosis	Epstein-Barr virus infection
hsa05145	hsa05170	0.93	Toxoplasmosis	Human immunodeficiency virus 1 infection
hsa05145	hsa05417	0.937	Toxoplasmosis	Lipid and atherosclerosis
hsa05146	hsa04060	0.912	Amoebiasis	Cytokine-cytokine receptor interaction
hsa05146	hsa04062	0.917	Amoebiasis	Chemokine signaling pathway
hsa05146	hsa04151	0.916	Amoebiasis	PI3K-Akt signaling pathway
hsa05146	hsa04380	0.914	Amoebiasis	Osteoclast differentiation
hsa05146	hsa04510	0.912	Amoebiasis	Focal adhesion
hsa05146	hsa04620	0.92	Amoebiasis	Toll-like receptor signaling pathway
hsa05146	hsa04668	0.913	Amoebiasis	TNF signaling pathway
hsa05146	hsa04926	0.928	Amoebiasis	Relaxin signaling pathway
hsa05146	hsa04933	0.936	Amoebiasis	AGE-RAGE signaling pathway in diabetic complications
hsa05146	hsa05133	0.91	Amoebiasis	Pertussis
hsa05146	hsa05135	0.926	Amoebiasis	Yersinia infection
hsa05146	hsa05140	0.913	Amoebiasis	Leishmaniasis
hsa05146	hsa05142	0.935	Amoebiasis	Chagas disease
hsa05146	hsa05145	0.929	Amoebiasis	Toxoplasmosis
hsa05146	hsa05152	0.917	Amoebiasis	Tuberculosis
hsa05146	hsa05161	0.92	Amoebiasis	Hepatitis B
hsa05146	hsa05163	0.911	Amoebiasis	Human cytomegalovirus infection
hsa05146	hsa05168	0.92	Amoebiasis	Herpes simplex virus 1 infection
hsa05146	hsa05205	0.916	Amoebiasis	Proteoglycans in cancer
hsa05146	hsa05417	0.91	Amoebiasis	Lipid and atherosclerosis
hsa05150	hsa04145	0.839	Staphylococcus aureus infection	Phagosome
hsa05150	hsa04514	0.879	Staphylococcus aureus infection	Cell adhesion molecules
hsa05150	hsa04610	0.888	Staphylococcus aureus infection	Complement and coagulation cascades
hsa05150	hsa04612	0.832	Staphylococcus aureus infection	Antigen processing and presentation
hsa05150	hsa04640	0.876	Staphylococcus aureus infection	Hematopoietic cell lineage
hsa05150	hsa04650	0.82	Staphylococcus aureus infection	Natural killer cell mediated cytotoxicity
hsa05150	hsa04672	0.867	Staphylococcus aureus infection	Intestinal immune network for IgA production
hsa05150	hsa04940	0.857	Staphylococcus aureus infection	Type I diabetes mellitus
hsa05150	hsa05133	0.828	Staphylococcus aureus infection	Pertussis
hsa05150	hsa05140	0.849	Staphylococcus aureus infection	Leishmaniasis
hsa05150	hsa05144	0.85	Staphylococcus aureus infection	Malaria
hsa05150	hsa05152	0.82	Staphylococcus aureus infection	Tuberculosis
hsa05150	hsa05310	0.86	Staphylococcus aureus infection	Asthma
hsa05150	hsa05320	0.87	Staphylococcus aureus infection	Autoimmune thyroid disease
hsa05150	hsa05321	0.828	Staphylococcus aureus infection	Inflammatory bowel disease
hsa05150	hsa05322	0.869	Staphylococcus aureus infection	Systemic lupus erythematosus
hsa05150	hsa05323	0.857	Staphylococcus aureus infection	Rheumatoid arthritis
hsa05150	hsa05330	0.865	Staphylococcus aureus infection	Allograft rejection
hsa05150	hsa05332	0.859	Staphylococcus aureus infection	Graft-versus-host disease
hsa05150	hsa05416	0.85	Staphylococcus aureus infection	Viral myocarditis
hsa05152	hsa04010	0.931	Tuberculosis	MAPK signaling pathway
hsa05152	hsa04380	0.937	Tuberculosis	Osteoclast differentiation
hsa05152	hsa04621	0.933	Tuberculosis	NOD-like receptor signaling pathway
hsa05152	hsa04625	0.94	Tuberculosis	C-type lectin receptor signaling pathway
hsa05152	hsa05132	0.935	Tuberculosis	Salmonella infection
hsa05152	hsa05135	0.933	Tuberculosis	Yersinia infection
hsa05152	hsa05140	0.933	Tuberculosis	Leishmaniasis
hsa05152	hsa05142	0.935	Tuberculosis	Chagas disease
hsa05152	hsa05145	0.948	Tuberculosis	Toxoplasmosis
hsa05152	hsa05160	0.931	Tuberculosis	Hepatitis C
hsa05152	hsa05161	0.949	Tuberculosis	Hepatitis B
hsa05152	hsa05162	0.939	Tuberculosis	Measles
hsa05152	hsa05163	0.94	Tuberculosis	Human cytomegalovirus infection
hsa05152	hsa05164	0.944	Tuberculosis	Influenza A
hsa05152	hsa05166	0.936	Tuberculosis	Human T-cell leukemia virus 1 infection
hsa05152	hsa05167	0.944	Tuberculosis	Kaposi sarcoma-associated herpesvirus infection
hsa05152	hsa05168	0.956	Tuberculosis	Herpes simplex virus 1 infection
hsa05152	hsa05169	0.938	Tuberculosis	Epstein-Barr virus infection
